# Impinging Jet: H/D=2, Re=70000
# Cross wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.2904E-02
 0.4453E-01    0.3962E-02
 0.5658E-01    0.4926E-02
 0.6863E-01    0.5580E-02
 0.8068E-01    0.6660E-02
 0.9272E-01    0.7009E-02
 0.1048E+00    0.7327E-02
 0.1168E+00    0.7320E-02
 0.1289E+00    0.7069E-02
 0.1409E+00    0.7018E-02
 0.1530E+00    0.6541E-02
 0.1650E+00    0.6075E-02
 0.1771E+00    0.5633E-02
 0.1891E+00    0.5336E-02
 0.2012E+00    0.5002E-02
 0.2132E+00    0.5073E-02
 0.2253E+00    0.4970E-02
 0.2373E+00    0.5221E-02
 0.2494E+00    0.5616E-02
 0.2614E+00    0.6057E-02
 0.2735E+00    0.6744E-02
