# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.1603E+00
 0.1701E-02    0.2161E+00
 0.2415E-02    0.2519E+00
 0.3129E-02    0.2686E+00
 0.3843E-02    0.3117E+00
 0.4557E-02    0.3402E+00
 0.5985E-02    0.3819E+00
 0.7413E-02    0.4153E+00
 0.8841E-02    0.4395E+00
 0.1027E-01    0.4546E+00
 0.1313E-01    0.4711E+00
 0.1598E-01    0.4814E+00
 0.1884E-01    0.4954E+00
 0.2169E-01    0.5038E+00
 0.2593E-01    0.5089E+00
 0.3017E-01    0.5126E+00
 0.3441E-01    0.5113E+00
 0.4869E-01    0.5098E+00
 0.6297E-01    0.4951E+00
 0.7725E-01    0.4769E+00
 0.9153E-01    0.4460E+00
 0.1058E+00    0.4217E+00
 0.1201E+00    0.3939E+00
 0.1344E+00    0.3559E+00
 0.1487E+00    0.3392E+00
 0.1629E+00    0.3078E+00
 0.1772E+00    0.2794E+00
 0.1915E+00    0.2512E+00
 0.2058E+00    0.2271E+00
 0.2343E+00    0.1820E+00
 0.2629E+00    0.1467E+00
 0.2915E+00    0.1135E+00
 0.3200E+00    0.8873E-01
 0.3486E+00    0.6907E-01
 0.3771E+00    0.5457E-01
