# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.7384E-02
 0.1701E-02     0.1245E-01
 0.2415E-02     0.1568E-01
 0.3129E-02     0.1674E-01
 0.3843E-02     0.1903E-01
 0.4557E-02     0.2101E-01
 0.5985E-02     0.2269E-01
 0.7413E-02     0.2381E-01
 0.8841E-02     0.2465E-01
 0.1027E-01     0.2384E-01
 0.1313E-01     0.2540E-01
 0.1598E-01     0.2461E-01
 0.1884E-01     0.2409E-01
 0.2169E-01     0.2397E-01
 0.2593E-01     0.2371E-01
 0.3017E-01     0.2371E-01
 0.3441E-01     0.2395E-01
 0.4869E-01     0.2439E-01
 0.6297E-01     0.2365E-01
 0.7725E-01     0.2459E-01
 0.9153E-01     0.2576E-01
 0.1058E+00     0.2523E-01
 0.1201E+00     0.2548E-01
 0.1344E+00     0.2552E-01
 0.1487E+00     0.2461E-01
 0.1629E+00     0.2347E-01
 0.1772E+00     0.2151E-01
 0.1915E+00     0.2061E-01
 0.2058E+00     0.1942E-01
 0.2343E+00     0.1582E-01
 0.2629E+00     0.1261E-01
 0.2915E+00     0.9463E-02
 0.3200E+00     0.6495E-02
 0.3486E+00     0.4529E-02
 0.3771E+00     0.2769E-02
