# Impinging Jet: H/D=2, Re=70000
# Nusselt Number Data
# Expts. of Baughn et al (1992)
#  R/D        Nu/(Re**0.7)
  0.00         0.0931
  0.31         0.0890
  0.63         0.0807
  0.78         0.0753
  0.94         0.0644
  1.10         0.0609
  1.25         0.0647
  1.31         0.0700
  1.58         0.0804
  1.70         0.0853
  1.95         0.0900
  2.21         0.0855
  2.40         0.0805
  2.90         0.0701
  3.23         0.0644
  3.34         0.0609
  4.41         0.0447
  4.72         0.0415
  5.05         0.0384
