# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.1570E-02
 0.4453E-01    0.2738E-02
 0.5658E-01    0.3483E-02
 0.6863E-01    0.4194E-02
 0.8068E-01    0.4952E-02
 0.9272E-01    0.5532E-02
 0.1048E+00    0.5503E-02
 0.1168E+00    0.5606E-02
 0.1289E+00    0.5750E-02
 0.1409E+00    0.5582E-02
 0.1530E+00    0.5400E-02
 0.1650E+00    0.5438E-02
 0.1771E+00    0.5341E-02
 0.1891E+00    0.5212E-02
 0.2012E+00    0.5472E-02
 0.2132E+00    0.5430E-02
 0.2253E+00    0.5620E-02
 0.2373E+00    0.6225E-02
 0.2494E+00    0.6487E-02
 0.2614E+00    0.7179E-02
 0.2735E+00    0.7738E-02
