# Impinging Jet: H/D=2, Re=23000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D         uu/(UBULK**2)
 0.9872E-03     0.3303E-02
 0.1701E-02     0.6450E-02
 0.2415E-02     0.1189E-01
 0.3129E-02     0.1563E-01
 0.3843E-02     0.2123E-01
 0.4557E-02     0.2489E-01
 0.5985E-02     0.2853E-01
 0.7413E-02     0.2929E-01
 0.8841E-02     0.3004E-01
 0.1027E-01     0.2945E-01
 0.1313E-01     0.2473E-01
 0.1598E-01     0.2160E-01
 0.1884E-01     0.2079E-01
 0.2169E-01     0.1972E-01
 0.2593E-01     0.2039E-01
 0.3017E-01     0.2106E-01
 0.3441E-01     0.2446E-01
 0.4869E-01     0.2881E-01
 0.6297E-01     0.3477E-01
 0.7725E-01     0.3749E-01
 0.9153E-01     0.3833E-01
 0.1058E+00     0.3613E-01
 0.1201E+00     0.3334E-01
 0.1344E+00     0.2968E-01
 0.1487E+00     0.2618E-01
 0.1629E+00     0.2061E-01
 0.1772E+00     0.1528E-01
 0.1915E+00     0.1068E-01
 0.2058E+00     0.9360E-02
 0.2343E+00     0.3340E-02
 0.2629E+00     0.1940E-02
 0.2915E+00     0.6233E-03
 0.3200E+00     0.3082E-03
 0.3486E+00     0.1653E-03
 0.3771E+00     0.9002E-04
