# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
 0.3248E-01     -.1300E-02
 0.4453E-01     -.2924E-02
 0.5658E-01     -.4066E-02
 0.6863E-01     -.5498E-02
 0.8068E-01     -.5779E-02
 0.9272E-01     -.7064E-02
 0.1048E+00     -.7070E-02
 0.1168E+00     -.6904E-02
 0.1289E+00     -.6707E-02
 0.1409E+00     -.6348E-02
 0.1530E+00     -.5820E-02
 0.1650E+00     -.5515E-02
 0.1771E+00     -.4967E-02
 0.1891E+00     -.4408E-02
 0.2012E+00     -.3926E-02
 0.2132E+00     -.3230E-02
 0.2253E+00     -.2340E-02
 0.2373E+00     -.2638E-02
 0.2494E+00     -.1841E-02
 0.2614E+00     -.1316E-02
 0.2735E+00     -.1452E-02
