# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=3.0
# Expt. of Cooper et al. (1992)
#    y/D      -UV/(UBULK**2)
 0.3248E-01     -.2879E-03
 0.4453E-01     -.1468E-02
 0.5658E-01     -.2402E-02
 0.6863E-01     -.3135E-02
 0.8068E-01     -.3387E-02
 0.9272E-01     -.4416E-02
 0.1048E+00     -.4593E-02
 0.1168E+00     -.5057E-02
 0.1289E+00     -.4822E-02
 0.1409E+00     -.4914E-02
 0.1530E+00     -.4781E-02
 0.1650E+00     -.5004E-02
 0.1771E+00     -.4664E-02
 0.1891E+00     -.4134E-02
 0.2012E+00     -.4363E-02
 0.2132E+00     -.3663E-02
 0.2253E+00     -.3196E-02
 0.2373E+00     -.2835E-02
 0.2494E+00     -.2194E-02
 0.2614E+00     -.2276E-02
 0.2735E+00     -.1669E-02
