# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D   -uv/(UBULK**2)
   .3235E-01    -.1916E-02
   .3658E-01    -.2017E-02
   .4080E-01    -.2448E-02
   .4502E-01    -.2245E-02
   .5702E-01    -.2220E-02
   .6902E-01    -.2137E-02
   .8103E-01    -.8339E-03
   .9303E-01    -.2714E-03
   .1050E+00     .1392E-02
   .1170E+00     .2543E-02
   .1290E+00     .3910E-02
   .1410E+00     .5315E-02
   .1530E+00     .6183E-02
   .1650E+00     .7443E-02
   .1770E+00     .8467E-02
   .1890E+00     .8888E-02
   .2010E+00     .9523E-02
   .2130E+00     .1023E-01
   .2250E+00     .1015E-01
   .2370E+00     .1081E-01
   .2490E+00     .1122E-01
