# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D     -uv/(UBULK**2)
   .3235E-01    -.2562E-02
   .3658E-01    -.3000E-02
   .4080E-01    -.3231E-02
   .4502E-01    -.3569E-02
   .5702E-01    -.4233E-02
   .6902E-01    -.3918E-02
   .8103E-01    -.3765E-02
   .9303E-01    -.3160E-02
   .1050E+00    -.3171E-02
   .1170E+00    -.2876E-02
   .1290E+00    -.2146E-02
   .1410E+00    -.1757E-02
   .1530E+00    -.9070E-03
   .1650E+00    -.1015E-02
   .1770E+00     .2590E-03
   .1890E+00     .7282E-03
   .2010E+00     .1130E-02
   .2130E+00     .1835E-02
   .2250E+00     .2019E-02
   .2370E+00     .2053E-02
   .2490E+00     .3100E-02
