# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D      -uv/(UBULK**2)
   .3235E-01    -.2737E-02
   .3658E-01    -.3364E-02
   .4080E-01    -.4044E-02
   .4502E-01    -.4072E-02
   .5702E-01    -.5463E-02
   .6902E-01    -.5385E-02
   .8103E-01    -.5084E-02
   .9303E-01    -.5532E-02
   .1050E+00    -.5002E-02
   .1170E+00    -.4133E-02
   .1290E+00    -.4107E-02
   .1410E+00    -.3400E-02
   .1530E+00    -.3372E-02
   .1650E+00    -.3128E-02
   .1770E+00    -.2782E-02
   .1890E+00    -.2342E-02
   .2010E+00    -.2039E-02
   .2130E+00    -.1889E-02
   .2250E+00    -.1414E-02
   .2370E+00    -.7483E-03
   .2490E+00    -.8394E-03
