# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .8470E-02
   .1400E-02   .1398E-01
   .2112E-02   .1858E-01
   .2823E-02   .2170E-01
   .3533E-02   .2373E-01
   .4245E-02   .2487E-01
   .5668E-02   .2523E-01
   .7090E-02   .2550E-01
   .8512E-02   .2615E-01
   .9934E-02   .2599E-01
   .1278E-01   .2560E-01
   .1562E-01   .2521E-01
   .1847E-01   .2484E-01
   .2131E-01   .2440E-01
   .2554E-01   .2408E-01
   .2976E-01   .2357E-01
   .3398E-01   .2412E-01
   .4821E-01   .2460E-01
   .6243E-01   .2569E-01
   .7665E-01   .2741E-01
   .9088E-01   .2730E-01
   .1051E+00   .2788E-01
   .1336E+00   .2699E-01
   .1620E+00   .2622E-01
   .1904E+00   .2205E-01
   .2189E+00   .1894E-01
   .2473E+00   .1423E-01
   .2758E+00   .1071E-01
   .3042E+00   .7080E-02
   .3327E+00   .6182E-02
   .3611E+00   .3835E-02
   .3896E+00   .3214E-02
   .4180E+00   .1803E-02
   .4465E+00   .1698E-02
   .4749E+00   .1083E-02
