# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=0.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .2768E-02   .1845E+00
   .7764E-02   .2030E+00
   .1276E-01   .2095E+00
   .1776E-01   .2207E+00
   .2276E-01   .2267E+00
   .2776E-01   .2269E+00
   .3775E-01   .2566E+00
   .4775E-01   .2890E+00
   .5774E-01   .3088E+00
   .6774E-01   .3308E+00
   .8773E-01   .3828E+00
   .1077E+00   .4304E+00
   .1277E+00   .4772E+00
   .1577E+00   .5416E+00
   .1877E+00   .5984E+00
   .2177E+00   .6427E+00
   .2477E+00   .6893E+00
   .3476E+00   .8025E+00
   .4476E+00   .8813E+00
   .5475E+00   .9380E+00
   .6475E+00   .9735E+00
   .7475E+00   .9994E+00
   .9474E+00   .1031E+01
   .1147E+01   .1045E+01
   .1347E+01   .1063E+01
   .1547E+01   .1071E+01
   .1747E+01   .1088E+01
   .1947E+01   .1096E+01
   .2147E+01   .1101E+01
   .2347E+01   .1106E+01
   .2547E+01   .1110E+01
   .2747E+01   .1114E+01
   .2947E+01   .1116E+01
   .3147E+01   .1117E+01
   .3346E+01   .1122E+01
