# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .2768E-02   .1143E-01
   .4193E-02   .1414E-01
   .5622E-02   .1527E-01
   .7051E-02   .1608E-01
   .8480E-02   .1588E-01
   .9906E-02   .1610E-01
   .1276E-01   .1637E-01
   .1562E-01   .1596E-01
   .1848E-01   .1626E-01
   .2133E-01   .1624E-01
   .2704E-01   .1528E-01
   .3276E-01   .1609E-01
   .3847E-01   .1587E-01
   .4704E-01   .1721E-01
   .5560E-01   .1696E-01
   .6417E-01   .1831E-01
   .7274E-01   .1840E-01
   .1013E+00   .1969E-01
   .1299E+00   .1951E-01
   .1584E+00   .1814E-01
   .1870E+00   .1612E-01
   .2155E+00   .1429E-01
   .2727E+00   .1032E-01
   .3298E+00   .6661E-02
   .3869E+00   .4385E-02
   .4440E+00   .2292E-02
   .5011E+00   .1200E-02
   .5583E+00   .5657E-03
   .6154E+00   .3243E-03
   .6725E+00   .1610E-03
   .7296E+00   .8617E-04
   .7867E+00   .6579E-04
   .8439E+00   .4216E-04
   .9010E+00   .4302E-04
   .9581E+00   .4150E-04
