# Impinging Jet: H/D=6, Re=23000
# Nusselt Number Data
# Expts. of Baughn et al (1992)
#  R/D        Nu/(Re**0.7)
  0.000        0.1360
  0.397        0.1188
  0.749        0.1012
  1.146        0.0850
  1.521        0.0790
  1.917        0.0750
  2.270        0.0720
  2.689        0.0690
  3.041        0.0650
  3.438        0.0590
  3.813        0.0570
  4.209        0.0530
  4.584        0.0497
  4.937        0.0468
  5.333        0.0440
  5.708        0.0430
  6.083        0.0400
  6.854        0.0360
